# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 09.96m,0000010172Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-07-09T23:26:52.000;2024-07-09T19:26:52.000;21.20;0.000;1516.000;12.020
2024-07-09T23:26:57.000;2024-07-09T19:26:57.000;21.20;0.000;1519.000;12.020
2024-07-09T23:27:02.000;2024-07-09T19:27:02.000;21.20;0.000;1508.000;12.030
2024-07-09T23:27:07.000;2024-07-09T19:27:07.000;21.20;0.000;1507.000;12.030
2024-07-09T23:27:12.000;2024-07-09T19:27:12.000;21.20;0.000;1502.000;12.030
2024-07-09T23:27:17.000;2024-07-09T19:27:17.000;21.20;0.000;1507.000;12.030
2024-07-09T23:27:22.000;2024-07-09T19:27:22.000;21.20;0.000;1497.000;12.030
2024-07-09T23:27:27.000;2024-07-09T19:27:27.000;21.20;0.000;1499.000;12.030
2024-07-09T23:27:32.000;2024-07-09T19:27:32.000;21.20;0.000;1501.000;12.030
2024-07-09T23:27:37.000;2024-07-09T19:27:37.000;21.20;0.000;1494.000;12.040
2024-07-09T23:27:42.000;2024-07-09T19:27:42.000;21.20;0.000;1487.000;12.040
2024-07-09T23:27:47.000;2024-07-09T19:27:47.000;21.20;0.000;1486.000;12.040
2024-07-09T23:27:52.000;2024-07-09T19:27:52.000;21.20;0.000;1488.000;12.040
2024-07-09T23:27:57.000;2024-07-09T19:27:57.000;21.20;0.000;1481.000;12.040
2024-07-09T23:28:02.000;2024-07-09T19:28:02.000;21.20;0.000;1481.000;12.040
2024-07-09T23:28:07.000;2024-07-09T19:28:07.000;21.20;0.000;1479.000;12.050
2024-07-09T23:28:12.000;2024-07-09T19:28:12.000;21.20;0.000;1477.000;12.050
2024-07-09T23:28:17.000;2024-07-09T19:28:17.000;21.20;0.000;1474.000;12.050
2024-07-09T23:28:22.000;2024-07-09T19:28:22.000;21.20;0.000;1479.000;12.050
2024-07-09T23:28:27.000;2024-07-09T19:28:27.000;21.20;0.000;1483.000;12.040
2024-07-09T23:28:32.000;2024-07-09T19:28:32.000;21.20;0.000;1476.000;12.050
2024-07-09T23:28:37.000;2024-07-09T19:28:37.000;21.20;0.000;1474.000;12.050
