# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, 72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 07.69m,0000082419Hz,0000000000c,0000000.000s, 020.6C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-12T16:26:26.000;2024-06-12T12:26:26.000;20.60;0.000;82419.000;7.690
2024-06-12T16:26:36.000;2024-06-12T12:26:36.000;20.60;0.000;75330.000;7.780
2024-06-12T21:08:06.000;2024-06-12T17:08:06.000;21.20;0.000;10571.000;9.910
2024-06-12T21:08:16.000;2024-06-12T17:08:16.000;21.20;0.000;10309.000;9.940
2024-06-12T21:08:26.000;2024-06-12T17:08:26.000;21.20;0.000;36678.000;8.560
2024-06-12T21:08:36.000;2024-06-12T17:08:36.000;20.90;0.000;38339.000;8.520
2024-06-12T21:08:46.000;2024-06-12T17:08:46.000;21.20;0.000;27678.000;8.870
2024-06-12T21:08:56.000;2024-06-12T17:08:56.000;21.20;0.000;33293.000;8.670
2024-06-12T21:09:06.000;2024-06-12T17:09:06.000;21.20;0.000;33375.000;8.670
2024-06-12T21:09:16.000;2024-06-12T17:09:16.000;21.20;0.000;31628.000;8.720
2024-06-12T21:09:26.000;2024-06-12T17:09:26.000;21.20;0.000;31106.000;8.740
2024-06-12T21:09:36.000;2024-06-12T17:09:36.000;21.20;0.000;31528.000;8.730
2024-06-12T21:09:46.000;2024-06-12T17:09:46.000;21.20;0.000;32158.000;8.710
2024-06-12T21:09:56.000;2024-06-12T17:09:56.000;21.20;0.000;32495.000;8.700
2024-06-12T21:10:06.000;2024-06-12T17:10:06.000;21.20;0.000;32207.000;8.710
2024-06-12T21:10:16.000;2024-06-12T17:10:16.000;21.20;0.000;31386.000;8.730
2024-06-12T21:10:26.000;2024-06-12T17:10:26.000;21.20;0.000;30183.000;8.780
2024-06-12T21:10:36.000;2024-06-12T17:10:36.000;21.20;0.000;29909.000;8.780
2024-06-12T21:10:46.000;2024-06-12T17:10:46.000;21.20;0.000;29355.000;8.800
2024-06-12T21:10:56.000;2024-06-12T17:10:56.000;21.20;0.000;29112.000;8.810
2024-06-12T21:11:06.000;2024-06-12T17:11:06.000;21.20;0.000;28711.000;8.830
2024-06-12T21:11:16.000;2024-06-12T17:11:16.000;21.20;0.000;28453.000;8.840
2024-06-12T21:11:26.000;2024-06-12T17:11:26.000;21.20;0.000;28579.000;8.830
2024-06-12T21:11:36.000;2024-06-12T17:11:36.000;21.20;0.000;28123.000;8.850
2024-06-12T21:11:46.000;2024-06-12T17:11:46.000;21.20;0.000;27991.000;8.860
2024-06-12T21:11:56.000;2024-06-12T17:11:56.000;21.20;0.000;27802.000;8.860
2024-06-12T21:12:06.000;2024-06-12T17:12:06.000;21.20;0.000;27444.000;8.880
2024-06-12T21:12:16.000;2024-06-12T17:12:16.000;21.50;0.000;27273.000;8.880
2024-06-12T21:12:26.000;2024-06-12T17:12:26.000;21.20;0.000;27132.000;8.890
2024-06-12T21:12:36.000;2024-06-12T17:12:36.000;21.20;0.000;27074.000;8.890
