# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 08.84m,0000028356Hz,0000000000c,0000000.000s, 020.3C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-30T23:28:08.000;2024-06-30T19:28:08.000;20.30;0.000;21285.000;9.150
2024-06-30T23:28:13.000;2024-06-30T19:28:13.000;20.60;0.000;21292.000;9.150
2024-06-30T23:28:18.000;2024-06-30T19:28:18.000;20.60;0.000;21294.000;9.150
2024-06-30T23:28:23.000;2024-06-30T19:28:23.000;20.60;0.000;21298.000;9.150
2024-06-30T23:28:28.000;2024-06-30T19:28:28.000;20.60;0.000;21303.000;9.150
2024-06-30T23:28:33.000;2024-06-30T19:28:33.000;20.60;0.000;21312.000;9.150
2024-06-30T23:28:38.000;2024-06-30T19:28:38.000;20.60;0.000;21314.000;9.150
2024-06-30T23:28:43.000;2024-06-30T19:28:43.000;20.60;0.000;21317.000;9.150
2024-06-30T23:28:48.000;2024-06-30T19:28:48.000;20.60;0.000;21319.000;9.150
2024-06-30T23:28:53.000;2024-06-30T19:28:53.000;20.60;0.000;21316.000;9.150
2024-06-30T23:28:58.000;2024-06-30T19:28:58.000;20.60;0.000;21312.000;9.150
2024-06-30T23:29:03.000;2024-06-30T19:29:03.000;20.60;0.000;21307.000;9.150
2024-06-30T23:29:08.000;2024-06-30T19:29:08.000;20.60;0.000;21305.000;9.150
2024-06-30T23:29:13.000;2024-06-30T19:29:13.000;20.60;0.000;21297.000;9.150
2024-06-30T23:29:18.000;2024-06-30T19:29:18.000;20.60;0.000;21293.000;9.150
2024-06-30T23:29:23.000;2024-06-30T19:29:23.000;20.60;0.000;21286.000;9.150
2024-06-30T23:29:28.000;2024-06-30T19:29:28.000;20.60;0.000;21285.000;9.150
2024-06-30T23:29:33.000;2024-06-30T19:29:33.000;20.30;0.000;21277.000;9.150
2024-06-30T23:29:38.000;2024-06-30T19:29:38.000;20.60;0.000;21271.000;9.150
2024-06-30T23:29:43.000;2024-06-30T19:29:43.000;20.30;0.000;21262.000;9.150
2024-06-30T23:29:48.000;2024-06-30T19:29:48.000;20.30;0.000;21258.000;9.150
2024-06-30T23:29:53.000;2024-06-30T19:29:53.000;20.60;0.000;21242.000;9.160
2024-06-30T23:29:58.000;2024-06-30T19:29:58.000;20.60;0.000;21235.000;9.160
2024-06-30T23:30:03.000;2024-06-30T19:30:03.000;20.60;0.000;21214.000;9.160
2024-06-30T23:30:08.000;2024-06-30T19:30:08.000;20.60;0.000;21204.000;9.160
2024-06-30T23:30:13.000;2024-06-30T19:30:13.000;20.60;0.000;21185.000;9.160
2024-06-30T23:30:18.000;2024-06-30T19:30:18.000;20.60;0.000;21173.000;9.160
2024-06-30T23:30:23.000;2024-06-30T19:30:23.000;20.30;0.000;21153.000;9.160
2024-06-30T23:30:28.000;2024-06-30T19:30:28.000;20.30;0.000;21140.000;9.160
2024-06-30T23:30:33.000;2024-06-30T19:30:33.000;20.30;0.000;21124.000;9.160
2024-06-30T23:30:38.000;2024-06-30T19:30:38.000;20.60;0.000;21112.000;9.170
2024-06-30T23:30:43.000;2024-06-30T19:30:43.000;20.30;0.000;21093.000;9.170
2024-06-30T23:30:48.000;2024-06-30T19:30:48.000;20.30;0.000;21080.000;9.170
2024-06-30T23:30:53.000;2024-06-30T19:30:53.000;20.30;0.000;21059.000;9.170
2024-06-30T23:30:58.000;2024-06-30T19:30:58.000;20.60;0.000;21044.000;9.170
2024-06-30T23:31:03.000;2024-06-30T19:31:03.000;20.30;0.000;21021.000;9.170
2024-06-30T23:31:08.000;2024-06-30T19:31:08.000;20.60;0.000;21010.000;9.170
2024-06-30T23:31:13.000;2024-06-30T19:31:13.000;20.60;0.000;20989.000;9.180
2024-06-30T23:31:18.000;2024-06-30T19:31:18.000;20.60;0.000;20975.000;9.180
2024-06-30T23:31:23.000;2024-06-30T19:31:23.000;20.30;0.000;20951.000;9.180
2024-06-30T23:31:28.000;2024-06-30T19:31:28.000;20.30;0.000;20938.000;9.180
2024-06-30T23:31:33.000;2024-06-30T19:31:33.000;20.60;0.000;20917.000;9.180
2024-06-30T23:31:38.000;2024-06-30T19:31:38.000;20.60;0.000;20899.000;9.180
2024-06-30T23:31:43.000;2024-06-30T19:31:43.000;20.60;0.000;20881.000;9.180
2024-06-30T23:31:48.000;2024-06-30T19:31:48.000;20.60;0.000;20869.000;9.180
2024-06-30T23:31:53.000;2024-06-30T19:31:53.000;20.30;0.000;20848.000;9.180
2024-06-30T23:31:58.000;2024-06-30T19:31:58.000;20.60;0.000;20837.000;9.180
2024-06-30T23:32:03.000;2024-06-30T19:32:03.000;20.30;0.000;20813.000;9.180
2024-06-30T23:32:08.000;2024-06-30T19:32:08.000;20.60;0.000;20803.000;9.180
2024-06-30T23:32:13.000;2024-06-30T19:32:13.000;20.60;0.000;20788.000;9.180
2024-06-30T23:32:18.000;2024-06-30T19:32:18.000;20.30;0.000;20772.000;9.180
2024-06-30T23:32:23.000;2024-06-30T19:32:23.000;20.30;0.000;20757.000;9.180
2024-06-30T23:32:28.000;2024-06-30T19:32:28.000;20.60;0.000;20745.000;9.180
2024-06-30T23:32:33.000;2024-06-30T19:32:33.000;20.60;0.000;20733.000;9.190
2024-06-30T23:32:38.000;2024-06-30T19:32:38.000;20.60;0.000;20724.000;9.190
2024-06-30T23:32:43.000;2024-06-30T19:32:43.000;20.60;0.000;20709.000;9.190
2024-06-30T23:32:48.000;2024-06-30T19:32:48.000;20.30;0.000;20700.000;9.190
2024-06-30T23:32:53.000;2024-06-30T19:32:53.000;20.60;0.000;20689.000;9.190
2024-06-30T23:32:58.000;2024-06-30T19:32:58.000;20.30;0.000;20682.000;9.190
2024-06-30T23:33:03.000;2024-06-30T19:33:03.000;20.60;0.000;20671.000;9.190
2024-06-30T23:33:08.000;2024-06-30T19:33:08.000;20.60;0.000;20665.000;9.190
2024-06-30T23:33:13.000;2024-06-30T19:33:13.000;20.60;0.000;20655.000;9.190
2024-06-30T23:33:18.000;2024-06-30T19:33:18.000;20.60;0.000;20651.000;9.190
2024-06-30T23:33:23.000;2024-06-30T19:33:23.000;20.60;0.000;20642.000;9.190
2024-06-30T23:33:28.000;2024-06-30T19:33:28.000;20.60;0.000;20639.000;9.190
2024-06-30T23:33:33.000;2024-06-30T19:33:33.000;20.60;0.000;20631.000;9.190
2024-06-30T23:33:38.000;2024-06-30T19:33:38.000;20.60;0.000;20625.000;9.190
2024-06-30T23:33:43.000;2024-06-30T19:33:43.000;20.60;0.000;20618.000;9.190
2024-06-30T23:33:48.000;2024-06-30T19:33:48.000;20.60;0.000;20616.000;9.190
2024-06-30T23:33:53.000;2024-06-30T19:33:53.000;20.60;0.000;20608.000;9.190
2024-06-30T23:33:58.000;2024-06-30T19:33:58.000;20.30;0.000;20604.000;9.190
2024-06-30T23:34:03.000;2024-06-30T19:34:03.000;20.60;0.000;20599.000;9.190
2024-06-30T23:34:08.000;2024-06-30T19:34:08.000;20.60;0.000;20599.000;9.190
