# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 10.47m,0000006343Hz,0000000000c,0000000.000s, 022.5C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-10T19:29:34.000;2024-06-10T15:29:34.000;22.50;0.000;6343.000;10.470
2024-06-10T19:29:36.000;2024-06-10T15:29:36.000;22.50;0.000;6372.000;10.460
2024-06-10T19:29:40.000;2024-06-10T15:29:40.000;22.50;0.000;6400.000;10.450
2024-06-10T19:29:42.000;2024-06-10T15:29:42.000;22.50;0.000;6392.000;10.460
2024-06-10T19:29:46.000;2024-06-10T15:29:46.000;22.50;0.000;6402.000;10.450
2024-06-10T19:29:48.000;2024-06-10T15:29:48.000;22.50;0.000;6431.000;10.450
2024-06-10T19:29:52.000;2024-06-10T15:29:52.000;22.50;0.000;6321.000;10.470
2024-06-10T19:29:54.000;2024-06-10T15:29:54.000;22.50;0.000;6290.000;10.480
2024-06-10T19:29:58.000;2024-06-10T15:29:58.000;22.50;0.000;6331.000;10.470
2024-06-10T19:30:00.000;2024-06-10T15:30:00.000;22.50;0.000;6342.000;10.470
2024-06-10T23:26:38.000;2024-06-10T19:26:38.000;19.60;0.000;4590.000;10.820
2024-06-10T23:26:40.000;2024-06-10T19:26:40.000;19.60;0.000;4591.000;10.820
2024-06-10T23:26:45.000;2024-06-10T19:26:45.000;19.60;0.000;4506.000;10.850
2024-06-10T23:26:47.000;2024-06-10T19:26:47.000;19.60;0.000;4423.000;10.860
2024-06-10T23:26:51.000;2024-06-10T19:26:51.000;19.60;0.000;4455.000;10.850
2024-06-10T23:26:53.000;2024-06-10T19:26:53.000;19.60;0.000;4386.000;10.870
2024-06-10T23:26:57.000;2024-06-10T19:26:57.000;19.60;0.000;4381.000;10.870
2024-06-10T23:26:59.000;2024-06-10T19:26:59.000;19.60;0.000;4437.000;10.860
2024-06-10T23:27:03.000;2024-06-10T19:27:03.000;19.60;0.000;4512.000;10.840
2024-06-10T23:27:05.000;2024-06-10T19:27:05.000;19.60;0.000;4545.000;10.830
2024-06-10T23:27:09.000;2024-06-10T19:27:09.000;19.60;0.000;4699.000;10.800
2024-06-10T23:27:11.000;2024-06-10T19:27:11.000;19.60;0.000;4758.000;10.780
2024-06-10T23:27:15.000;2024-06-10T19:27:15.000;19.60;0.000;4767.000;10.780
2024-06-10T23:27:17.000;2024-06-10T19:27:17.000;19.60;0.000;4848.000;10.760
2024-06-10T23:27:21.000;2024-06-10T19:27:21.000;19.60;0.000;4769.000;10.780
2024-06-10T23:27:23.000;2024-06-10T19:27:23.000;19.60;0.000;4722.000;10.790
2024-06-10T23:27:27.000;2024-06-10T19:27:27.000;19.60;0.000;4746.000;10.780
2024-06-10T23:27:29.000;2024-06-10T19:27:29.000;19.60;0.000;4755.000;10.780
2024-06-10T23:27:33.000;2024-06-10T19:27:33.000;19.60;0.000;4708.000;10.790
2024-06-10T23:27:35.000;2024-06-10T19:27:35.000;19.60;0.000;4762.000;10.780
2024-06-10T23:27:39.000;2024-06-10T19:27:39.000;19.60;0.000;4780.000;10.780
2024-06-10T23:27:41.000;2024-06-10T19:27:41.000;19.60;0.000;4843.000;10.760
2024-06-10T23:27:45.000;2024-06-10T19:27:45.000;19.60;0.000;4942.000;10.740
2024-06-10T23:27:47.000;2024-06-10T19:27:47.000;19.60;0.000;5070.000;10.710
2024-06-10T23:27:51.000;2024-06-10T19:27:51.000;19.60;0.000;5024.000;10.720
2024-06-10T23:27:53.000;2024-06-10T19:27:53.000;19.60;0.000;5029.000;10.720
2024-06-10T23:27:58.000;2024-06-10T19:27:58.000;19.60;0.000;5054.000;10.720
2024-06-10T23:28:00.000;2024-06-10T19:28:00.000;19.60;0.000;4949.000;10.740
2024-06-10T23:28:04.000;2024-06-10T19:28:04.000;19.60;0.000;4974.000;10.730
2024-06-10T23:28:06.000;2024-06-10T19:28:06.000;19.60;0.000;4993.000;10.730
2024-06-10T23:28:10.000;2024-06-10T19:28:10.000;19.60;0.000;4857.000;10.760
2024-06-10T23:28:12.000;2024-06-10T19:28:12.000;19.60;0.000;4875.000;10.750
2024-06-10T23:28:16.000;2024-06-10T19:28:16.000;19.60;0.000;4893.000;10.750
2024-06-10T23:28:18.000;2024-06-10T19:28:18.000;19.60;0.000;4910.000;10.750
2024-06-10T23:28:22.000;2024-06-10T19:28:22.000;19.60;0.000;5042.000;10.720
2024-06-10T23:28:24.000;2024-06-10T19:28:24.000;19.60;0.000;5028.000;10.720
2024-06-10T23:28:28.000;2024-06-10T19:28:28.000;19.60;0.000;5125.000;10.700
2024-06-10T23:28:30.000;2024-06-10T19:28:30.000;19.60;0.000;5146.000;10.700
2024-06-10T23:28:34.000;2024-06-10T19:28:34.000;19.60;0.000;5311.000;10.670
2024-06-10T23:28:36.000;2024-06-10T19:28:36.000;19.60;0.000;5317.000;10.660
2024-06-10T23:28:40.000;2024-06-10T19:28:40.000;19.60;0.000;5256.000;10.670
2024-06-10T23:28:42.000;2024-06-10T19:28:42.000;19.60;0.000;5204.000;10.690
2024-06-10T23:28:46.000;2024-06-10T19:28:46.000;19.60;0.000;5582.000;10.610
2024-06-10T23:28:48.000;2024-06-10T19:28:48.000;19.60;0.000;5459.000;10.630
2024-06-10T23:28:52.000;2024-06-10T19:28:52.000;19.60;0.000;5396.000;10.650
2024-06-10T23:28:54.000;2024-06-10T19:28:54.000;19.60;0.000;5446.000;10.630
2024-06-10T23:28:58.000;2024-06-10T19:28:58.000;19.60;0.000;5569.000;10.610
2024-06-10T23:29:00.000;2024-06-10T19:29:00.000;19.60;0.000;5469.000;10.630
2024-06-10T23:29:04.000;2024-06-10T19:29:04.000;19.60;0.000;5339.000;10.660
2024-06-10T23:29:06.000;2024-06-10T19:29:06.000;19.60;0.000;5293.000;10.670
2024-06-10T23:29:11.000;2024-06-10T19:29:11.000;19.60;0.000;5368.000;10.650
2024-06-10T23:29:13.000;2024-06-10T19:29:13.000;19.60;0.000;5330.000;10.660
2024-06-10T23:29:17.000;2024-06-10T19:29:17.000;19.60;0.000;5422.000;10.640
2024-06-10T23:29:19.000;2024-06-10T19:29:19.000;19.60;0.000;5463.000;10.630
2024-06-10T23:29:23.000;2024-06-10T19:29:23.000;19.60;0.000;5520.000;10.620
2024-06-10T23:29:25.000;2024-06-10T19:29:25.000;19.60;0.000;5622.000;10.600
2024-06-10T23:29:29.000;2024-06-10T19:29:29.000;19.60;0.000;5674.000;10.590
2024-06-10T23:29:31.000;2024-06-10T19:29:31.000;19.60;0.000;5671.000;10.590
2024-06-10T23:29:35.000;2024-06-10T19:29:35.000;19.60;0.000;5613.000;10.600
2024-06-10T23:29:37.000;2024-06-10T19:29:37.000;19.60;0.000;5517.000;10.620
2024-06-10T23:29:41.000;2024-06-10T19:29:41.000;19.60;0.000;5540.000;10.610
2024-06-10T23:29:43.000;2024-06-10T19:29:43.000;19.60;0.000;5611.000;10.600
2024-06-10T23:29:47.000;2024-06-10T19:29:47.000;19.60;0.000;5797.000;10.560
2024-06-10T23:29:49.000;2024-06-10T19:29:49.000;19.60;0.000;5635.000;10.590
2024-06-10T23:29:53.000;2024-06-10T19:29:53.000;19.60;0.000;5577.000;10.610
2024-06-10T23:29:55.000;2024-06-10T19:29:55.000;19.60;0.000;5460.000;10.630
2024-06-10T23:29:59.000;2024-06-10T19:29:59.000;19.60;0.000;5241.000;10.680
2024-06-10T23:30:01.000;2024-06-10T19:30:01.000;19.60;0.000;5186.000;10.690
2024-06-10T23:30:05.000;2024-06-10T19:30:05.000;19.60;0.000;5235.000;10.680
2024-06-10T23:30:07.000;2024-06-10T19:30:07.000;19.60;0.000;5339.000;10.660
2024-06-10T23:30:11.000;2024-06-10T19:30:11.000;19.60;0.000;5452.000;10.630
2024-06-10T23:30:13.000;2024-06-10T19:30:13.000;19.60;0.000;5570.000;10.610
2024-06-10T23:30:18.000;2024-06-10T19:30:18.000;19.60;0.000;5562.000;10.610
2024-06-10T23:30:20.000;2024-06-10T19:30:20.000;19.60;0.000;5560.000;10.610
2024-06-10T23:30:24.000;2024-06-10T19:30:24.000;19.60;0.000;5642.000;10.590
2024-06-10T23:30:26.000;2024-06-10T19:30:26.000;19.60;0.000;5666.000;10.590
2024-06-10T23:30:30.000;2024-06-10T19:30:30.000;19.60;0.000;5764.000;10.570
2024-06-10T23:30:32.000;2024-06-10T19:30:32.000;19.60;0.000;5872.000;10.550
2024-06-10T23:30:36.000;2024-06-10T19:30:36.000;19.60;0.000;5903.000;10.550
2024-06-10T23:30:38.000;2024-06-10T19:30:38.000;19.60;0.000;5958.000;10.530
2024-06-10T23:30:42.000;2024-06-10T19:30:42.000;19.60;0.000;6123.000;10.500
2024-06-10T23:30:44.000;2024-06-10T19:30:44.000;19.60;0.000;6196.000;10.500
2024-06-10T23:30:48.000;2024-06-10T19:30:48.000;19.60;0.000;6365.000;10.470
2024-06-10T23:30:50.000;2024-06-10T19:30:50.000;19.60;0.000;6467.000;10.450
2024-06-10T23:30:54.000;2024-06-10T19:30:54.000;19.60;0.000;6425.000;10.450
2024-06-10T23:30:56.000;2024-06-10T19:30:56.000;19.60;0.000;6517.000;10.440
2024-06-10T23:31:00.000;2024-06-10T19:31:00.000;19.60;0.000;6635.000;10.420
2024-06-10T23:31:02.000;2024-06-10T19:31:02.000;19.60;0.000;6661.000;10.410
2024-06-10T23:31:06.000;2024-06-10T19:31:06.000;19.30;0.000;6723.000;10.400
2024-06-10T23:31:08.000;2024-06-10T19:31:08.000;19.60;0.000;6679.000;10.410
2024-06-10T23:31:12.000;2024-06-10T19:31:12.000;19.60;0.000;6590.000;10.430
2024-06-10T23:31:14.000;2024-06-10T19:31:14.000;19.60;0.000;6669.000;10.410
2024-06-10T23:31:19.000;2024-06-10T19:31:19.000;19.60;0.000;6503.000;10.440
2024-06-10T23:31:21.000;2024-06-10T19:31:21.000;19.60;0.000;6412.000;10.450
2024-06-10T23:31:25.000;2024-06-10T19:31:25.000;19.60;0.000;6388.000;10.460
2024-06-10T23:31:27.000;2024-06-10T19:31:27.000;19.60;0.000;6306.000;10.470
2024-06-10T23:31:31.000;2024-06-10T19:31:31.000;19.60;0.000;6241.000;10.480
2024-06-10T23:31:33.000;2024-06-10T19:31:33.000;19.60;0.000;6197.000;10.500
2024-06-10T23:31:37.000;2024-06-10T19:31:37.000;19.60;0.000;6113.000;10.500
2024-06-10T23:31:39.000;2024-06-10T19:31:39.000;19.60;0.000;6119.000;10.500
2024-06-10T23:31:43.000;2024-06-10T19:31:43.000;19.60;0.000;6106.000;10.510
2024-06-10T23:31:45.000;2024-06-10T19:31:45.000;19.60;0.000;6115.000;10.500
2024-06-10T23:31:49.000;2024-06-10T19:31:49.000;19.60;0.000;6201.000;10.500
2024-06-10T23:31:51.000;2024-06-10T19:31:51.000;19.60;0.000;6141.000;10.500
2024-06-10T23:31:55.000;2024-06-10T19:31:55.000;19.60;0.000;6202.000;10.500
2024-06-10T23:31:57.000;2024-06-10T19:31:57.000;19.60;0.000;6159.000;10.500
2024-06-10T23:32:01.000;2024-06-10T19:32:01.000;19.30;0.000;6086.000;10.510
2024-06-10T23:32:03.000;2024-06-10T19:32:03.000;19.60;0.000;6031.000;10.520
2024-06-10T23:32:07.000;2024-06-10T19:32:07.000;19.60;0.000;5937.000;10.540
2024-06-10T23:32:09.000;2024-06-10T19:32:09.000;19.60;0.000;5903.000;10.550
2024-06-10T23:32:13.000;2024-06-10T19:32:13.000;19.60;0.000;5895.000;10.550
2024-06-10T23:32:15.000;2024-06-10T19:32:15.000;19.30;0.000;5899.000;10.550
2024-06-10T23:32:20.000;2024-06-10T19:32:20.000;19.30;0.000;5941.000;10.540
2024-06-10T23:32:22.000;2024-06-10T19:32:22.000;19.60;0.000;5979.000;10.530
2024-06-10T23:32:26.000;2024-06-10T19:32:26.000;19.60;0.000;5853.000;10.560
2024-06-10T23:32:28.000;2024-06-10T19:32:28.000;19.60;0.000;5807.000;10.560
2024-06-10T23:32:32.000;2024-06-10T19:32:32.000;19.60;0.000;5797.000;10.560
2024-06-10T23:32:34.000;2024-06-10T19:32:34.000;19.60;0.000;5787.000;10.570
2024-06-10T23:32:38.000;2024-06-10T19:32:38.000;19.60;0.000;5985.000;10.530
2024-06-10T23:32:40.000;2024-06-10T19:32:40.000;19.60;0.000;5940.000;10.540
2024-06-10T23:32:44.000;2024-06-10T19:32:44.000;19.60;0.000;5988.000;10.530
2024-06-10T23:32:46.000;2024-06-10T19:32:46.000;19.60;0.000;6120.000;10.500
2024-06-10T23:32:50.000;2024-06-10T19:32:50.000;19.60;0.000;6041.000;10.520
2024-06-10T23:32:52.000;2024-06-10T19:32:52.000;19.60;0.000;6013.000;10.530
2024-06-10T23:32:56.000;2024-06-10T19:32:56.000;19.60;0.000;6042.000;10.520
