# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, 72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 10.15m,0000008516Hz,0000000000c,0000000.000s, 021.2C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-14T21:09:10.000;2024-06-14T17:09:10.000;21.20;0.000;8516.000;10.150
2024-06-14T21:09:20.000;2024-06-14T17:09:20.000;21.20;0.000;8804.000;10.120
2024-06-14T23:24:39.000;2024-06-14T19:24:39.000;20.60;0.000;1629.000;11.940
2024-06-14T23:24:49.000;2024-06-14T19:24:49.000;20.90;0.000;1544.000;12.000
2024-06-14T23:24:59.000;2024-06-14T19:24:59.000;20.60;0.000;1533.000;12.010
2024-06-14T23:25:09.000;2024-06-14T19:25:09.000;20.90;0.000;1530.000;12.010
2024-06-14T23:25:19.000;2024-06-14T19:25:19.000;20.60;0.000;1536.000;12.000
2024-06-14T23:25:29.000;2024-06-14T19:25:29.000;20.60;0.000;1530.000;12.010
2024-06-14T23:25:39.000;2024-06-14T19:25:39.000;20.60;0.000;1502.000;12.030
2024-06-14T23:25:49.000;2024-06-14T19:25:49.000;20.60;0.000;1565.000;11.990
2024-06-14T23:25:59.000;2024-06-14T19:25:59.000;20.60;0.000;1585.000;11.970
2024-06-14T23:26:09.000;2024-06-14T19:26:09.000;20.60;0.000;1593.000;11.970
2024-06-14T23:26:19.000;2024-06-14T19:26:19.000;20.90;0.000;1529.000;12.010
2024-06-14T23:26:29.000;2024-06-14T19:26:29.000;20.90;0.000;1488.000;12.040
