# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 08.84m,0000028356Hz,0000000000c,0000000.000s, 020.3C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-27T23:28:49.000;2024-06-27T19:28:49.000;20.90;0.000;8903.000;10.100
2024-06-27T23:28:54.000;2024-06-27T19:28:54.000;20.90;0.000;8620.000;10.140
2024-06-27T23:28:59.000;2024-06-27T19:28:59.000;20.90;0.000;9358.000;10.050
2024-06-27T23:29:04.000;2024-06-27T19:29:04.000;20.90;0.000;8623.000;10.140
2024-06-27T23:29:09.000;2024-06-27T19:29:09.000;20.60;0.000;8222.000;10.190
2024-06-27T23:29:14.000;2024-06-27T19:29:14.000;20.90;0.000;8302.000;10.180
2024-06-27T23:29:19.000;2024-06-27T19:29:19.000;20.60;0.000;8101.000;10.200
2024-06-27T23:29:24.000;2024-06-27T19:29:24.000;20.90;0.000;8372.000;10.170
2024-06-27T23:29:29.000;2024-06-27T19:29:29.000;20.90;0.000;8145.000;10.200
2024-06-27T23:29:34.000;2024-06-27T19:29:34.000;20.60;0.000;8088.000;10.200
2024-06-27T23:29:39.000;2024-06-27T19:29:39.000;20.90;0.000;8157.000;10.200
2024-06-27T23:29:44.000;2024-06-27T19:29:44.000;20.90;0.000;8801.000;10.120
2024-06-27T23:29:49.000;2024-06-27T19:29:49.000;20.90;0.000;8250.000;10.190
2024-06-27T23:29:54.000;2024-06-27T19:29:54.000;20.60;0.000;7896.000;10.230
2024-06-27T23:29:59.000;2024-06-27T19:29:59.000;20.90;0.000;7979.000;10.220
2024-06-27T23:30:04.000;2024-06-27T19:30:04.000;20.90;0.000;7712.000;10.250
2024-06-27T23:30:09.000;2024-06-27T19:30:09.000;20.60;0.000;7707.000;10.260
2024-06-27T23:30:14.000;2024-06-27T19:30:14.000;20.90;0.000;7649.000;10.260
2024-06-27T23:30:19.000;2024-06-27T19:30:19.000;20.90;0.000;7778.000;10.250
2024-06-27T23:30:24.000;2024-06-27T19:30:24.000;20.90;0.000;7777.000;10.250
2024-06-27T23:30:29.000;2024-06-27T19:30:29.000;20.90;0.000;7852.000;10.240
2024-06-27T23:30:34.000;2024-06-27T19:30:34.000;20.90;0.000;8035.000;10.210
2024-06-27T23:30:39.000;2024-06-27T19:30:39.000;20.90;0.000;7873.000;10.230
2024-06-27T23:30:44.000;2024-06-27T19:30:44.000;20.90;0.000;7831.000;10.240
2024-06-27T23:30:49.000;2024-06-27T19:30:49.000;20.90;0.000;7777.000;10.250
2024-06-27T23:30:54.000;2024-06-27T19:30:54.000;20.60;0.000;7756.000;10.250
2024-06-27T23:30:59.000;2024-06-27T19:30:59.000;20.90;0.000;8240.000;10.190
2024-06-27T23:31:04.000;2024-06-27T19:31:04.000;20.60;0.000;7661.000;10.260
2024-06-27T23:31:09.000;2024-06-27T19:31:09.000;20.90;0.000;7645.000;10.270
2024-06-27T23:31:14.000;2024-06-27T19:31:14.000;20.90;0.000;7519.000;10.280
2024-06-27T23:31:19.000;2024-06-27T19:31:19.000;20.60;0.000;7418.000;10.300
2024-06-27T23:31:24.000;2024-06-27T19:31:24.000;20.90;0.000;7455.000;10.290
2024-06-27T23:31:29.000;2024-06-27T19:31:29.000;20.90;0.000;7522.000;10.280
2024-06-27T23:31:34.000;2024-06-27T19:31:34.000;20.90;0.000;7564.000;10.270
2024-06-27T23:31:39.000;2024-06-27T19:31:39.000;20.90;0.000;7687.000;10.260
2024-06-27T23:31:44.000;2024-06-27T19:31:44.000;20.90;0.000;7669.000;10.260
2024-06-27T23:31:49.000;2024-06-27T19:31:49.000;20.90;0.000;7563.000;10.270
2024-06-27T23:31:54.000;2024-06-27T19:31:54.000;20.90;0.000;7452.000;10.290
2024-06-27T23:31:59.000;2024-06-27T19:31:59.000;20.90;0.000;7403.000;10.300
2024-06-27T23:32:04.000;2024-06-27T19:32:04.000;20.60;0.000;7470.000;10.290
2024-06-27T23:32:09.000;2024-06-27T19:32:09.000;20.90;0.000;7344.000;10.310
2024-06-27T23:32:14.000;2024-06-27T19:32:14.000;20.60;0.000;7508.000;10.280
2024-06-27T23:32:19.000;2024-06-27T19:32:19.000;20.90;0.000;7436.000;10.290
2024-06-27T23:32:24.000;2024-06-27T19:32:24.000;20.60;0.000;7404.000;10.300
2024-06-27T23:32:29.000;2024-06-27T19:32:29.000;20.90;0.000;7423.000;10.300
2024-06-27T23:32:34.000;2024-06-27T19:32:34.000;20.90;0.000;7439.000;10.290
2024-06-27T23:32:39.000;2024-06-27T19:32:39.000;20.90;0.000;7391.000;10.300
2024-06-27T23:32:44.000;2024-06-27T19:32:44.000;20.90;0.000;7330.000;10.310
2024-06-27T23:32:49.000;2024-06-27T19:32:49.000;20.90;0.000;7219.000;10.330
2024-06-27T23:32:54.000;2024-06-27T19:32:54.000;20.90;0.000;7049.000;10.350
2024-06-27T23:32:59.000;2024-06-27T19:32:59.000;20.90;0.000;7247.000;10.320
2024-06-27T23:33:04.000;2024-06-27T19:33:04.000;20.90;0.000;7203.000;10.330
2024-06-27T23:33:09.000;2024-06-27T19:33:09.000;20.90;0.000;7219.000;10.330
2024-06-27T23:33:14.000;2024-06-27T19:33:14.000;20.90;0.000;7332.000;10.310
2024-06-27T23:33:19.000;2024-06-27T19:33:19.000;20.60;0.000;7352.000;10.310
2024-06-27T23:33:24.000;2024-06-27T19:33:24.000;20.90;0.000;7800.000;10.250
2024-06-27T23:33:29.000;2024-06-27T19:33:29.000;20.90;0.000;7409.000;10.300
2024-06-27T23:33:34.000;2024-06-27T19:33:34.000;20.90;0.000;7388.000;10.300
2024-06-27T23:33:39.000;2024-06-27T19:33:39.000;20.90;0.000;7323.000;10.310
2024-06-27T23:33:44.000;2024-06-27T19:33:44.000;20.60;0.000;7293.000;10.320
