# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 10.50m,0000006112Hz,0000000000c,0000000.000s, 021.5C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-20T23:27:11.000;2024-06-20T19:27:11.000;21.20;0.000;1822.000;11.820
2024-06-20T23:27:16.000;2024-06-20T19:27:16.000;21.50;0.000;1816.000;11.820
2024-06-20T23:27:21.000;2024-06-20T19:27:21.000;21.20;0.000;1812.000;11.830
2024-06-20T23:27:26.000;2024-06-20T19:27:26.000;21.20;0.000;1804.000;11.830
2024-06-20T23:27:31.000;2024-06-20T19:27:31.000;21.20;0.000;1803.000;11.830
2024-06-20T23:27:36.000;2024-06-20T19:27:36.000;21.20;0.000;1799.000;11.840
2024-06-20T23:27:41.000;2024-06-20T19:27:41.000;21.20;0.000;1789.000;11.840
2024-06-20T23:27:46.000;2024-06-20T19:27:46.000;21.50;0.000;1795.000;11.840
2024-06-20T23:27:51.000;2024-06-20T19:27:51.000;21.20;0.000;1786.000;11.840
2024-06-20T23:27:56.000;2024-06-20T19:27:56.000;21.20;0.000;1793.000;11.840
2024-06-20T23:28:01.000;2024-06-20T19:28:01.000;21.20;0.000;1784.000;11.840
2024-06-20T23:28:06.000;2024-06-20T19:28:06.000;21.20;0.000;1784.000;11.840
2024-06-20T23:28:11.000;2024-06-20T19:28:11.000;21.20;0.000;1783.000;11.850
2024-06-20T23:28:16.000;2024-06-20T19:28:16.000;21.20;0.000;1777.000;11.850
2024-06-20T23:28:21.000;2024-06-20T19:28:21.000;21.20;0.000;1769.000;11.850
2024-06-20T23:28:26.000;2024-06-20T19:28:26.000;21.20;0.000;1766.000;11.860
2024-06-20T23:28:31.000;2024-06-20T19:28:31.000;21.20;0.000;1753.000;11.860
2024-06-20T23:28:36.000;2024-06-20T19:28:36.000;21.50;0.000;1755.000;11.860
2024-06-20T23:28:41.000;2024-06-20T19:28:41.000;21.20;0.000;1738.000;11.870
2024-06-20T23:28:46.000;2024-06-20T19:28:46.000;21.50;0.000;1734.000;11.880
2024-06-20T23:28:51.000;2024-06-20T19:28:51.000;21.50;0.000;1718.000;11.890
2024-06-20T23:28:56.000;2024-06-20T19:28:56.000;21.20;0.000;1702.000;11.900
2024-06-20T23:29:01.000;2024-06-20T19:29:01.000;21.20;0.000;1692.000;11.900
2024-06-20T23:29:06.000;2024-06-20T19:29:06.000;21.20;0.000;1671.000;11.920
2024-06-20T23:29:11.000;2024-06-20T19:29:11.000;21.20;0.000;1652.000;11.930
2024-06-20T23:29:16.000;2024-06-20T19:29:16.000;21.20;0.000;1638.000;11.940
2024-06-20T23:29:21.000;2024-06-20T19:29:21.000;21.20;0.000;1612.000;11.960
2024-06-20T23:29:27.000;2024-06-20T19:29:27.000;21.20;0.000;1599.000;11.970
2024-06-20T23:29:32.000;2024-06-20T19:29:32.000;21.20;0.000;1574.000;11.980
2024-06-20T23:29:37.000;2024-06-20T19:29:37.000;21.20;0.000;1555.000;11.990
2024-06-20T23:29:42.000;2024-06-20T19:29:42.000;21.20;0.000;1537.000;12.000
